Order/PO Number,External ID,Model Number,ASIN,Merchant Sku,Title,List Price,Discount,Cost,Quantity Ordered,Previously Confirmed Quantity,Quantity Confirmed,Quantity Canceled,Quantity Received,Hand Off Start,Hand Off End,Hand Off Type,Expected Hand Off Date,Availability Status,Error From Previous Upload Attempt,Vendor Code,Fulfillment Center,Consolidation ID,Condition,Order Date,Is Back Order,Freight Terms,Payment Method,Special Instructions,Comments,Legal Entity Id,Currency Code,External Id Type,Item Package Quantity,Aggregate Quantity,Merchant Customer ID,Merchant Sku ratio
11GT5SPY,655258819180,K5506-F1211,B0095BBEJ6,,"HomePop Parsons Classic Upholstered Accent Dining Chair with Nailheads, Set of 2, Burlap",$144.86,0%,$144.86,3,3,3,0,0,25-Oct-2021,29-Oct-2021,Ship,25-Dec-2021,AC - Accepted: In stock,,KINEB,DET2,,Confirmed,25-Oct-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
11GT5SPY,655258828205,K6171-B119,B00J8VMUP0,,"HomePop by Kinfine Fabric Upholstered Round Storage Ottoman - Velvet Button Tufted Ottoman with Removable Lid, Burgundy",$139.99,45%,$76.64,8,0,0,0,0,25-Oct-2021,29-Oct-2021,Ship,25-Oct-2021,OS - Cancelled: Out of stock,,KINEB,DET2,,Confirmed,25-Oct-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
11GT5SPY,655258822715,K1136-F975,B071XZ2VQ6,,"HomePop Parsons Classic Upholstered Accent Dining Chair, Single Pack, Brown Sage Leaf",$96.74,21%,$76.64,4,4,4,0,0,25-Oct-2021,29-Oct-2021,Ship,09-Dec-2021,AC - Accepted: In stock,,KINEB,DET2,,Confirmed,25-Oct-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
11GT5SPY,655258854921,K7646-A750,B079RWVD8J,,"HomePop Square Storage Ottoman with Hinged Lid, Greay Damask, Blue Slate",$79.71,0%,$79.71,8,0,0,0,0,25-Oct-2021,29-Oct-2021,Ship,25-Oct-2021,OS - Cancelled: Out of stock,,KINEB,DET2,,Confirmed,25-Oct-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
11GT5SPY,655258857557,N8264-F2206,B07FZPQV38,,"HomePop Large Button Tufted Round Storage Ottoman, Light Blue",$109.99,15%,$93.66,3,3,3,0,0,25-Oct-2021,29-Oct-2021,Ship,29-Oct-2021,AC - Accepted: In stock,,KINEB,DET2,,Confirmed,25-Oct-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
11HS2JMP,655258828243,K6171-B204,B00J8VMV9A,,"HomePop by Kinfine Fabric Upholstered Round Storage Ottoman - Velvet Button Tufted Ottoman with Removable Lid, Purple",$124.99,48%,$64.43,10,0,0,0,0,18-Sep-2021,25-Sep-2021,Ship,18-Sep-2021,OS - Cancelled: Out of stock,,KINEB,BOS7,,Confirmed,24-Jun-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
11HS2JMP,655258834527,N8264-B119,B016YSU2SG,,"HomePop Large Button Tufted Round Storage Ottoman, Berry",$109.99,31%,$76.18,2,2,2,0,0,18-Sep-2021,25-Sep-2021,Ship,02-Oct-2021,AC - Accepted: In stock,,KINEB,BOS7,,Confirmed,24-Jun-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
11HS2JMP,655258839522,K6908-F1540,B06ZYXMKMR,,"HomePop Modern Swoop Arm Accent Chair, Gray Geomtric, Medium",$210.99,24%,$160.32,2,0,0,0,0,18-Sep-2021,25-Sep-2021,Ship,18-Sep-2021,OS - Cancelled: Out of stock,,KINEB,BOS7,,Confirmed,24-Jun-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
11HS2JMP,655258839447,K6499-B122,B071XPKWTQ,,"HomePop Velvet Swoop Arm Accent Chair, Teal",$219.99,45%,$122.00,1,1,1,0,1,18-Sep-2021,25-Sep-2021,Ship,02-Oct-2021,AC - Accepted: In stock,,KINEB,BOS7,,Confirmed,24-Jun-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
11HS2JMP,655258851043,K7342-F2067,B073QLTSN3,,"HomePop Square Storage Ottoman with Lift Off Lid, Cream",$70.36,0%,$70.36,3,0,0,0,0,18-Sep-2021,25-Sep-2021,Ship,25-Sep-2021,OS - Cancelled: Out of stock,,KINEB,BOS7,,Confirmed,24-Jun-2021,NO,Collect,Invoice,,,101,USD,6,1,1,,0%
